date,exercise,weight,reps,sets
2024-03-11,Overhead Press,52.5,6,3
2024-03-11,Weighted Chin-up (added weight),5,7,4
2024-03-13,Barbell Curl,32.5,6,3
2024-03-13,Barbell Row,72.5,6,4
2024-03-13,Weighted Dip (added weight),7.5,4,4
2024-03-15,Leg Extension,70,12,4
2024-03-15,Smith Machine Calf Raise,105,10,3
2024-03-18,Bench Press,87.5,7,3
2024-03-18,Overhead Press,52.5,8,4
2024-03-18,Rope Pushdown,27.5,8,4
2024-03-18,Weighted Chin-up (added weight),5,6,4
2024-03-20,Barbell Curl,35,6,4
2024-03-20,Barbell Row,72.5,5,4
2024-03-20,Deadlift,127.5,6,3
2024-03-20,Weighted Dip (added weight),7.5,4,3
2024-03-22,Leg Extension,67.5,12,4
2024-03-22,Leg Press,165,5,3
2024-03-22,Smith Machine Calf Raise,100,8,3
2024-03-22,Squat,95,6,3
2024-03-25,Bench Press,87.5,8,4
2024-03-25,Neutral Grip Lat Pulldown,75,5,3
2024-03-25,Overhead Press,52.5,5,4
2024-03-25,Rope Pushdown,27.5,6,3
2024-03-25,Weighted Chin-up (added weight),5,6,3
2024-03-27,Barbell Curl,32.5,10,3
2024-03-27,Barbell Row,77.5,5,4
2024-03-27,Deadlift,132.5,8,3
2024-03-27,Weighted Dip (added weight),7.5,8,4
2024-03-29,Squat,100,6,3
2024-04-01,Bench Press,90,7,4
2024-04-01,Neutral Grip Lat Pulldown,75,10,3
2024-04-01,Overhead Press,55,5,4
2024-04-01,Weighted Chin-up (added weight),5,5,3
2024-04-03,Deadlift,135,6,3
2024-04-03,Weighted Dip (added weight),7.5,8,3
2024-04-05,Leg Press,175,10,4
2024-04-05,Squat,100,7,3
2024-04-08,Bench Press,90,5,3
2024-04-08,Neutral Grip Lat Pulldown,75,6,4
2024-04-08,Overhead Press,55,7,4
2024-04-08,Rope Pushdown,27.5,12,3
2024-04-10,Barbell Row,77.5,7,4
2024-04-10,Deadlift,132.5,7,4
2024-04-10,Weighted Dip (added weight),7.5,4,3
2024-04-12,Leg Press,170,12,4
2024-04-12,Smith Machine Calf Raise,105,8,3
2024-04-12,Squat,97.5,6,4
2024-04-15,Bench Press,92.5,7,3
2024-04-15,Neutral Grip Lat Pulldown,75,6,3
2024-04-15,Overhead Press,57.5,6,3
2024-04-15,Weighted Chin-up (added weight),7.5,6,3
2024-04-17,Barbell Curl,35,8,3
2024-04-17,Barbell Row,75,5,4
2024-04-17,Weighted Dip (added weight),7.5,3,3
2024-04-19,Leg Extension,72.5,6,4
2024-04-19,Squat,100,5,4
2024-04-22,Bench Press,95,7,3
2024-04-22,Neutral Grip Lat Pulldown,75,10,3
2024-04-22,Overhead Press,55,6,4
2024-04-22,Rope Pushdown,27.5,10,4
2024-04-24,Barbell Curl,35,8,3
2024-04-24,Barbell Row,77.5,8,3
2024-04-24,Deadlift,132.5,6,4
2024-04-24,Weighted Dip (added weight),7.5,6,3
2024-04-26,Leg Extension,72.5,8,4
2024-04-26,Leg Press,170,12,4
2024-04-26,Smith Machine Calf Raise,105,12,3
2024-04-29,Bench Press,95,7,3
2024-04-29,Neutral Grip Lat Pulldown,77.5,8,3
2024-04-29,Overhead Press,55,7,3
2024-05-01,Barbell Row,80,8,4
2024-05-03,Leg Extension,72.5,12,3
2024-05-03,Smith Machine Calf Raise,105,10,4
2024-05-03,Squat,100,7,4
2024-05-06,Bench Press,90,5,3
2024-05-06,Overhead Press,55,8,3
2024-05-06,Weighted Chin-up (added weight),7.5,4,4
2024-05-08,Barbell Row,75,6,3
2024-05-10,Leg Extension,67.5,6,4
2024-05-10,Leg Press,165,10,3
2024-05-10,Smith Machine Calf Raise,105,8,3
2024-05-13,Bench Press,87.5,7,3
2024-05-13,Overhead Press,55,8,4
2024-05-13,Weighted Chin-up (added weight),5,4,3
2024-05-15,Barbell Curl,32.5,8,4
2024-05-15,Barbell Row,75,6,3
2024-05-15,Deadlift,132.5,5,3
2024-05-17,Leg Extension,72.5,6,3
2024-05-17,Leg Press,180,5,4
2024-05-17,Smith Machine Calf Raise,110,5,3
2024-05-20,Bench Press,95,6,4
2024-05-20,Overhead Press,57.5,8,3
2024-05-20,Rope Pushdown,30,8,3
2024-05-22,Barbell Curl,37.5,6,4
2024-05-22,Barbell Row,77.5,5,3
2024-05-22,Deadlift,142.5,5,4
2024-05-22,Weighted Dip (added weight),10,4,3
2024-05-24,Leg Extension,72.5,6,3
2024-05-24,Leg Press,180,12,4
2024-05-24,Smith Machine Calf Raise,110,12,4
2024-05-24,Squat,105,8,3
2024-05-27,Bench Press,95,5,3
2024-05-27,Overhead Press,57.5,8,3
2024-05-27,Rope Pushdown,27.5,6,3
2024-05-27,Weighted Chin-up (added weight),7.5,3,4
2024-05-29,Barbell Curl,37.5,10,3
2024-05-29,Barbell Row,77.5,8,4
2024-05-29,Deadlift,142.5,5,4
2024-05-29,Weighted Dip (added weight),10,3,4
2024-05-31,Leg Extension,75,5,4
2024-05-31,Leg Press,175,5,3
2024-05-31,Squat,102.5,8,4
2024-06-03,Bench Press,97.5,6,3
2024-06-03,Neutral Grip Lat Pulldown,82.5,5,3
2024-06-03,Overhead Press,60,8,4
2024-06-03,Rope Pushdown,30,8,3
2024-06-03,Weighted Chin-up (added weight),7.5,5,3
2024-06-05,Barbell Curl,37.5,8,4
2024-06-05,Barbell Row,77.5,8,3
2024-06-07,Leg Extension,77.5,5,4
2024-06-07,Leg Press,180,8,4
2024-06-07,Smith Machine Calf Raise,110,12,3
2024-06-07,Squat,107.5,5,3
2024-06-10,Bench Press,97.5,5,4
2024-06-10,Neutral Grip Lat Pulldown,80,6,4
2024-06-10,Overhead Press,60,8,4
2024-06-10,Rope Pushdown,30,10,3
2024-06-10,Weighted Chin-up (added weight),7.5,7,4
2024-06-12,Barbell Row,82.5,7,4
2024-06-12,Deadlift,142.5,7,4
2024-06-12,Weighted Dip (added weight),10,8,3
2024-06-14,Leg Extension,77.5,10,4
2024-06-14,Leg Press,180,5,3
2024-06-14,Smith Machine Calf Raise,115,5,3
2024-06-14,Squat,105,8,4
2024-06-17,Bench Press,100,8,3
2024-06-17,Neutral Grip Lat Pulldown,80,8,3
2024-06-17,Overhead Press,60,5,3
2024-06-17,Rope Pushdown,30,12,3
2024-06-17,Weighted Chin-up (added weight),7.5,3,3
2024-06-19,Barbell Curl,37.5,8,3
2024-06-19,Barbell Row,82.5,7,4
2024-06-19,Deadlift,142.5,8,4
2024-06-19,Weighted Dip (added weight),10,8,3
2024-06-21,Leg Extension,77.5,5,4
2024-06-21,Leg Press,185,8,4
2024-06-24,Bench Press,100,5,3
2024-06-24,Neutral Grip Lat Pulldown,82.5,12,4
2024-06-24,Overhead Press,60,7,4
2024-06-24,Rope Pushdown,27.5,10,4
2024-06-24,Weighted Chin-up (added weight),7.5,5,4
2024-06-26,Barbell Curl,37.5,8,3
2024-06-26,Deadlift,142.5,5,4
2024-06-26,Weighted Dip (added weight),10,5,4
2024-06-28,Leg Extension,77.5,6,3
2024-06-28,Smith Machine Calf Raise,120,8,4
2024-07-01,Bench Press,100,6,4
2024-07-01,Neutral Grip Lat Pulldown,82.5,8,3
2024-07-01,Overhead Press,60,8,4
2024-07-01,Weighted Chin-up (added weight),7.5,8,3
2024-07-03,Barbell Curl,37.5,6,4
2024-07-03,Barbell Row,80,6,4
2024-07-03,Weighted Dip (added weight),10,5,4
2024-07-05,Leg Extension,80,10,4
2024-07-05,Smith Machine Calf Raise,120,6,3
2024-07-05,Squat,110,5,4
2024-07-08,Bench Press,97.5,8,3
2024-07-08,Neutral Grip Lat Pulldown,80,6,3
2024-07-08,Overhead Press,62.5,5,4
2024-07-08,Rope Pushdown,30,6,3
2024-07-08,Weighted Chin-up (added weight),7.5,5,3
2024-07-10,Deadlift,147.5,8,4
2024-07-10,Weighted Dip (added weight),10,4,4
2024-07-12,Leg Extension,77.5,8,4
2024-07-12,Leg Press,185,5,3
2024-07-12,Smith Machine Calf Raise,115,12,4
2024-07-15,Bench Press,102.5,7,4
2024-07-15,Overhead Press,60,7,4
2024-07-15,Rope Pushdown,30,10,3
2024-07-17,Barbell Curl,37.5,6,4
2024-07-17,Barbell Row,85,6,3
2024-07-17,Deadlift,150,8,3
2024-07-17,Weighted Dip (added weight),10,4,3
2024-07-19,Leg Extension,77.5,5,3
2024-07-19,Leg Press,185,5,3
2024-07-19,Smith Machine Calf Raise,115,10,3
2024-07-22,Bench Press,100,6,3
2024-07-22,Neutral Grip Lat Pulldown,85,12,3
2024-07-22,Overhead Press,62.5,7,4
2024-07-22,Rope Pushdown,30,12,3
2024-07-22,Weighted Chin-up (added weight),7.5,5,3
2024-07-24,Barbell Row,82.5,5,4
2024-07-24,Deadlift,150,6,4
2024-07-26,Smith Machine Calf Raise,115,5,3
2024-07-26,Squat,107.5,5,3
2024-07-29,Bench Press,97.5,7,3
2024-07-29,Neutral Grip Lat Pulldown,82.5,10,3
2024-07-29,Overhead Press,62.5,7,4
2024-07-29,Rope Pushdown,30,6,3
2024-07-29,Weighted Chin-up (added weight),7.5,3,4
2024-07-31,Barbell Curl,37.5,10,4
2024-07-31,Barbell Row,82.5,7,4
2024-08-02,Leg Extension,72.5,10,3
2024-08-02,Smith Machine Calf Raise,110,5,3
2024-08-02,Squat,100,8,4
2024-08-05,Bench Press,95,8,4
2024-08-05,Overhead Press,55,7,3
2024-08-07,Barbell Row,77.5,8,4
2024-08-07,Weighted Dip (added weight),10,5,3
2024-08-09,Leg Extension,80,10,4
2024-08-09,Leg Press,190,12,3
2024-08-09,Smith Machine Calf Raise,120,6,3
2024-08-09,Squat,110,6,4
2024-08-12,Bench Press,102.5,8,4
2024-08-12,Neutral Grip Lat Pulldown,82.5,6,3
2024-08-12,Overhead Press,60,8,4
2024-08-12,Rope Pushdown,30,12,3
2024-08-12,Weighted Chin-up (added weight),7.5,3,3
2024-08-14,Barbell Row,80,8,3
2024-08-14,Weighted Dip (added weight),10,7,3
2024-08-16,Leg Extension,80,12,3
2024-08-16,Smith Machine Calf Raise,115,8,4
2024-08-19,Bench Press,102.5,8,4
2024-08-19,Neutral Grip Lat Pulldown,82.5,8,4
2024-08-19,Overhead Press,62.5,8,4
2024-08-19,Weighted Chin-up (added weight),7.5,8,3
2024-08-21,Barbell Curl,37.5,8,4
2024-08-21,Barbell Row,82.5,6,3
2024-08-21,Deadlift,145,6,4
2024-08-23,Leg Press,185,12,3
2024-08-23,Smith Machine Calf Raise,120,12,4
2024-08-23,Squat,107.5,5,4
2024-08-26,Bench Press,100,6,3
2024-08-26,Neutral Grip Lat Pulldown,85,8,4
2024-08-26,Overhead Press,60,8,4
2024-08-26,Weighted Chin-up (added weight),7.5,7,3
2024-08-28,Barbell Row,85,6,3
2024-08-28,Deadlift,147.5,7,4
2024-08-28,Weighted Dip (added weight),10,8,4
2024-08-30,Leg Extension,80,10,4
2024-08-30,Leg Press,190,12,4
2024-08-30,Squat,110,6,4
2024-09-02,Bench Press,97.5,5,3
2024-09-02,Neutral Grip Lat Pulldown,80,8,3
2024-09-02,Overhead Press,60,5,3
2024-09-02,Weighted Chin-up (added weight),7.5,5,4
2024-09-04,Barbell Curl,37.5,10,3
2024-09-04,Barbell Row,82.5,6,4
2024-09-04,Deadlift,150,5,3
2024-09-04,Weighted Dip (added weight),10,6,4
2024-09-06,Leg Extension,77.5,12,3
2024-09-06,Smith Machine Calf Raise,120,8,4
2024-09-06,Squat,107.5,8,3
2024-09-09,Bench Press,100,6,3
2024-09-09,Neutral Grip Lat Pulldown,82.5,6,3
2024-09-09,Overhead Press,60,5,4
2024-09-09,Rope Pushdown,30,6,4
2024-09-09,Weighted Chin-up (added weight),7.5,4,4
2024-09-11,Barbell Curl,37.5,10,3
2024-09-11,Barbell Row,82.5,6,3
2024-09-11,Deadlift,147.5,7,3
2024-09-11,Weighted Dip (added weight),12.5,4,4
2024-09-13,Leg Press,185,8,3
2024-09-13,Smith Machine Calf Raise,115,12,3
2024-09-16,Bench Press,97.5,6,3
2024-09-16,Neutral Grip Lat Pulldown,82.5,5,4
2024-09-16,Rope Pushdown,30,12,3
2024-09-16,Weighted Chin-up (added weight),7.5,3,4
2024-09-18,Barbell Curl,37.5,8,4
2024-09-18,Deadlift,147.5,7,3
2024-09-18,Weighted Dip (added weight),12.5,7,3
2024-09-20,Leg Extension,75,10,4
2024-09-20,Leg Press,190,10,3
2024-09-20,Smith Machine Calf Raise,115,6,4
2024-09-23,Bench Press,100,6,4
2024-09-23,Neutral Grip Lat Pulldown,82.5,12,3
2024-09-23,Overhead Press,60,8,4
2024-09-23,Weighted Chin-up (added weight),7.5,3,3
2024-09-25,Barbell Curl,37.5,6,4
2024-09-25,Barbell Row,80,5,4
2024-09-25,Deadlift,150,5,4
2024-09-27,Leg Extension,77.5,8,3
2024-09-27,Smith Machine Calf Raise,115,5,3
2024-09-27,Squat,105,8,4
2024-09-30,Bench Press,100,5,4
2024-09-30,Neutral Grip Lat Pulldown,80,8,3
2024-09-30,Overhead Press,60,7,3
2024-09-30,Rope Pushdown,30,6,4
2024-09-30,Weighted Chin-up (added weight),7.5,7,3
2024-10-02,Barbell Curl,35,8,4
2024-10-02,Barbell Row,82.5,8,4
2024-10-02,Deadlift,142.5,5,4
2024-10-02,Weighted Dip (added weight),12.5,4,3
2024-10-04,Leg Extension,75,6,4
2024-10-04,Leg Press,180,8,4
2024-10-04,Smith Machine Calf Raise,115,8,4
2024-10-04,Squat,105,7,3
2024-10-07,Bench Press,97.5,7,4
2024-10-07,Neutral Grip Lat Pulldown,80,8,3
2024-10-07,Overhead Press,60,5,4
2024-10-09,Barbell Curl,37.5,12,3
2024-10-09,Barbell Row,82.5,8,3
2024-10-11,Leg Extension,77.5,12,3
2024-10-11,Leg Press,185,10,4
2024-10-11,Smith Machine Calf Raise,115,6,3
2024-10-11,Squat,105,7,3
2024-10-14,Bench Press,97.5,6,4
2024-10-14,Neutral Grip Lat Pulldown,80,6,4
2024-10-14,Rope Pushdown,30,6,3
2024-10-14,Weighted Chin-up (added weight),7.5,4,3
2024-10-16,Barbell Curl,37.5,6,4
2024-10-16,Barbell Row,82.5,7,4
2024-10-16,Weighted Dip (added weight),12.5,6,4
2024-10-18,Leg Extension,77.5,12,3
2024-10-18,Smith Machine Calf Raise,110,6,3
2024-10-18,Squat,110,8,4
2024-10-21,Bench Press,97.5,6,3
2024-10-21,Neutral Grip Lat Pulldown,80,12,3
2024-10-21,Overhead Press,60,5,3
2024-10-21,Rope Pushdown,30,8,3
2024-10-21,Weighted Chin-up (added weight),7.5,3,4
2024-10-23,Barbell Curl,35,6,4
2024-10-23,Deadlift,135,6,3
2024-10-23,Weighted Dip (added weight),10,4,4
2024-10-25,Leg Extension,72.5,12,3
2024-10-25,Leg Press,170,10,4
2024-10-25,Smith Machine Calf Raise,110,6,4
2024-10-26,Barbell Curl,45,6,3
2024-10-26,Barbell Row,100,1,1
2024-10-26,Rope Pushdown,35,8,3
2024-10-26,Smith Machine Calf Raise,145,8,4
2024-10-26,Squat,130,1,1
2024-10-28,Bench Press,92.5,8,3
2024-10-28,Overhead Press,55,5,3
2024-10-28,Rope Pushdown,27.5,6,3
2024-10-28,Weighted Chin-up (added weight),7.5,7,4
2024-10-29,Leg Extension,95,6,3
2024-10-29,Leg Press,220,5,3
2024-10-30,Barbell Curl,37.5,6,4
2024-10-30,Barbell Row,80,5,4
2024-10-30,Deadlift,147.5,5,4
2024-10-30,Weighted Dip (added weight),12.5,6,4
2024-11-01,Leg Extension,77.5,5,3
2024-11-01,Leg Press,185,10,4
2024-11-01,Smith Machine Calf Raise,115,6,4
2024-11-01,Squat,107.5,6,3
2024-11-04,Bench Press,95,8,4
2024-11-04,Neutral Grip Lat Pulldown,80,12,4
2024-11-04,Overhead Press,60,7,4
2024-11-04,Rope Pushdown,30,12,4
2024-11-06,Barbell Row,82.5,8,3
2024-11-08,Leg Extension,77.5,5,3
2024-11-08,Leg Press,180,8,3
2024-11-08,Squat,105,6,3
2024-11-11,Bench Press,97.5,5,3
2024-11-11,Neutral Grip Lat Pulldown,82.5,8,3
2024-11-11,Overhead Press,60,5,4
2024-11-13,Barbell Curl,37.5,10,3
2024-11-13,Barbell Row,80,6,4
2024-11-13,Weighted Dip (added weight),12.5,7,3
2024-11-15,Leg Extension,77.5,5,3
2024-11-15,Leg Press,180,10,4
2024-11-15,Smith Machine Calf Raise,115,12,4
2024-11-15,Squat,110,5,4
2024-11-18,Bench Press,100,6,3
2024-11-18,Neutral Grip Lat Pulldown,80,5,4
2024-11-18,Overhead Press,60,5,4
2024-11-18,Weighted Chin-up (added weight),7.5,7,3
2024-11-20,Barbell Row,82.5,6,4
2024-11-22,Leg Extension,75,10,3
2024-11-22,Leg Press,180,12,3
2024-11-22,Smith Machine Calf Raise,115,8,4
2024-11-25,Bench Press,97.5,3,4
2024-11-25,Neutral Grip Lat Pulldown,80,6,3
2024-11-25,Overhead Press,60,5,3
2024-11-25,Rope Pushdown,27.5,8,4
2024-11-25,Weighted Chin-up (added weight),7.5,5,4
2024-11-27,Barbell Row,80,3,4
2024-11-27,Deadlift,142.5,4,4
2024-11-27,Weighted Dip (added weight),12.5,7,3
2024-11-29,Leg Extension,77.5,6,3
2024-11-29,Leg Press,185,12,4
2024-11-29,Smith Machine Calf Raise,115,12,3
2024-11-29,Squat,105,5,4
2024-12-02,Bench Press,97.5,4,4
2024-12-02,Neutral Grip Lat Pulldown,80,12,3
2024-12-02,Rope Pushdown,30,10,3
2024-12-02,Weighted Chin-up (added weight),10,8,3
2024-12-04,Barbell Curl,37.5,8,3
2024-12-04,Barbell Row,82.5,4,4
2024-12-04,Deadlift,145,6,4
2024-12-04,Weighted Dip (added weight),12.5,6,4
2024-12-06,Leg Press,185,6,4
2024-12-06,Smith Machine Calf Raise,115,12,4
2024-12-06,Squat,110,6,4
2024-12-09,Bench Press,97.5,3,4
2024-12-09,Neutral Grip Lat Pulldown,80,12,4
2024-12-09,Overhead Press,60,4,4
2024-12-09,Rope Pushdown,30,10,3
2024-12-09,Weighted Chin-up (added weight),10,6,4
2024-12-11,Barbell Curl,37.5,8,3
2024-12-11,Barbell Row,82.5,6,4
2024-12-11,Deadlift,150,4,4
2024-12-13,Leg Extension,75,6,4
2024-12-13,Smith Machine Calf Raise,115,8,4
2024-12-13,Squat,110,6,4
2024-12-16,Bench Press,100,5,4
2024-12-16,Neutral Grip Lat Pulldown,82.5,5,3
2024-12-16,Overhead Press,60,3,3
2024-12-16,Weighted Chin-up (added weight),10,8,3
2024-12-18,Barbell Curl,37.5,8,3
2024-12-18,Barbell Row,82.5,3,4
2024-12-18,Deadlift,145,6,3
2024-12-18,Weighted Dip (added weight),12.5,5,4
2024-12-20,Leg Extension,80,12,3
2024-12-20,Leg Press,190,8,4
2024-12-20,Smith Machine Calf Raise,120,12,4
2024-12-20,Squat,107.5,5,4
2024-12-23,Bench Press,100,5,4
2024-12-23,Neutral Grip Lat Pulldown,82.5,6,4
2024-12-23,Overhead Press,60,3,4
2024-12-23,Rope Pushdown,30,12,4
2024-12-23,Weighted Chin-up (added weight),10,4,4
2024-12-25,Barbell Curl,37.5,12,4
2024-12-25,Barbell Row,85,4,4
2024-12-25,Deadlift,152.5,5,3
2024-12-27,Leg Extension,77.5,6,4
2024-12-27,Leg Press,190,8,4
2024-12-27,Smith Machine Calf Raise,120,10,4
2024-12-27,Squat,107.5,4,4
2024-12-30,Bench Press,100,5,3
2024-12-30,Neutral Grip Lat Pulldown,80,10,3
2024-12-30,Overhead Press,65,3,3
2024-12-30,Rope Pushdown,30,12,3
2025-01-01,Barbell Row,85,5,3
2025-01-01,Deadlift,147.5,6,4
2025-01-03,Leg Press,195,8,4
2025-01-03,Smith Machine Calf Raise,120,6,4
2025-01-03,Squat,112.5,3,4
2025-01-06,Bench Press,102.5,3,3
2025-01-06,Neutral Grip Lat Pulldown,80,12,3
2025-01-06,Overhead Press,62.5,4,4
2025-01-06,Rope Pushdown,30,8,4
2025-01-06,Weighted Chin-up (added weight),10,5,3
2025-01-08,Barbell Curl,37.5,10,3
2025-01-08,Weighted Dip (added weight),12.5,8,4
2025-01-10,Leg Extension,77.5,12,4
2025-01-10,Leg Press,185,5,3
2025-01-10,Squat,110,3,4
2025-01-13,Bench Press,102.5,3,4
2025-01-13,Overhead Press,62.5,3,3
2025-01-13,Rope Pushdown,30,12,4
2025-01-13,Weighted Chin-up (added weight),10,7,4
2025-01-15,Barbell Curl,37.5,8,3
2025-01-15,Barbell Row,80,6,3
2025-01-15,Deadlift,140,3,4
2025-01-15,Weighted Dip (added weight),12.5,5,4
2025-01-17,Leg Extension,77.5,12,4
2025-01-17,Leg Press,180,12,4
2025-01-17,Smith Machine Calf Raise,110,5,4
2025-01-17,Squat,105,5,4
2025-01-20,Bench Press,97.5,4,4
2025-01-20,Overhead Press,60,3,3
2025-01-20,Rope Pushdown,27.5,6,3
2025-01-20,Weighted Chin-up (added weight),7.5,4,3
2025-01-22,Barbell Curl,40,6,4
2025-01-22,Barbell Row,85,3,3
2025-01-22,Deadlift,157.5,6,4
2025-01-24,Leg Extension,80,12,4
2025-01-24,Leg Press,195,10,4
2025-01-24,Smith Machine Calf Raise,125,8,3
2025-01-27,Bench Press,107.5,3,3
2025-01-27,Neutral Grip Lat Pulldown,85,5,4
2025-01-27,Overhead Press,65,4,3
2025-01-27,Weighted Chin-up (added weight),10,8,3
2025-01-29,Barbell Curl,40,10,4
2025-01-29,Barbell Row,87.5,5,3
2025-01-29,Deadlift,155,3,3
2025-01-29,Weighted Dip (added weight),12.5,5,4
2025-01-31,Leg Extension,80,12,4
2025-01-31,Leg Press,195,12,3
2025-01-31,Smith Machine Calf Raise,125,10,3
2025-02-03,Bench Press,107.5,3,3
2025-02-03,Rope Pushdown,32.5,10,3
2025-02-03,Weighted Chin-up (added weight),10,4,3
2025-02-05,Barbell Curl,40,6,4
2025-02-05,Barbell Row,90,4,3
2025-02-05,Deadlift,155,4,3
2025-02-05,Weighted Dip (added weight),12.5,7,4
2025-02-07,Leg Extension,82.5,12,4
2025-02-07,Leg Press,200,12,3
2025-02-07,Smith Machine Calf Raise,120,8,4
2025-02-10,Bench Press,105,3,3
2025-02-10,Neutral Grip Lat Pulldown,87.5,6,3
2025-02-10,Overhead Press,65,3,4
2025-02-10,Weighted Chin-up (added weight),10,5,3
2025-02-12,Barbell Curl,40,12,4
2025-02-14,Leg Extension,82.5,10,4
2025-02-14,Leg Press,195,10,3
2025-02-14,Smith Machine Calf Raise,125,6,4
2025-02-17,Bench Press,105,4,3
2025-02-17,Neutral Grip Lat Pulldown,85,8,4
2025-02-17,Overhead Press,65,6,4
2025-02-17,Rope Pushdown,30,10,3
2025-02-17,Weighted Chin-up (added weight),10,3,4
2025-02-19,Barbell Row,90,6,3
2025-02-19,Weighted Dip (added weight),15,4,3
2025-02-21,Leg Press,195,12,3
2025-02-21,Squat,117.5,3,3
2025-02-24,Bench Press,107.5,3,4
2025-02-24,Neutral Grip Lat Pulldown,90,5,4
2025-02-24,Overhead Press,65,4,3
2025-02-24,Rope Pushdown,32.5,6,4
2025-02-24,Weighted Chin-up (added weight),10,5,4
2025-02-26,Barbell Row,90,3,4
2025-02-26,Deadlift,157.5,5,3
2025-02-26,Weighted Dip (added weight),15,8,4
2025-02-28,Leg Extension,85,8,4
2025-02-28,Squat,120,6,3
2025-03-03,Bench Press,105,6,3
2025-03-03,Neutral Grip Lat Pulldown,87.5,8,3
2025-03-03,Overhead Press,67.5,5,4
2025-03-03,Weighted Chin-up (added weight),10,3,4
2025-03-05,Barbell Row,87.5,5,4
2025-03-07,Leg Extension,85,12,3
2025-03-07,Leg Press,205,6,3
2025-03-07,Smith Machine Calf Raise,130,10,4
2025-03-07,Squat,117.5,5,3
2025-03-10,Bench Press,107.5,4,3
2025-03-10,Neutral Grip Lat Pulldown,90,6,3
2025-03-10,Overhead Press,67.5,4,3
2025-03-10,Rope Pushdown,32.5,6,3
2025-03-10,Weighted Chin-up (added weight),10,7,3
2025-03-12,Barbell Curl,40,8,3
2025-03-12,Deadlift,165,3,4
2025-03-12,Weighted Dip (added weight),15,6,4
2025-03-14,Leg Extension,85,6,4
2025-03-14,Leg Press,195,5,4
2025-03-14,Smith Machine Calf Raise,125,10,4
2025-03-14,Squat,120,5,3
2025-03-17,Bench Press,105,4,3
2025-03-17,Neutral Grip Lat Pulldown,90,10,4
2025-03-17,Overhead Press,67.5,5,4
2025-03-17,Weighted Chin-up (added weight),10,4,3
2025-03-19,Weighted Dip (added weight),15,7,4
2025-03-21,Leg Extension,85,5,4
2025-03-21,Leg Press,205,5,3
2025-03-21,Smith Machine Calf Raise,130,5,3
2025-03-21,Squat,120,3,3
2025-03-24,Bench Press,107.5,5,4
2025-03-24,Neutral Grip Lat Pulldown,87.5,12,3
2025-03-24,Overhead Press,67.5,3,3
2025-03-24,Rope Pushdown,32.5,6,3
2025-03-24,Weighted Chin-up (added weight),10,3,3
2025-03-26,Barbell Curl,40,8,4
2025-03-26,Barbell Row,90,4,3
2025-03-26,Deadlift,165,4,4
2025-03-26,Weighted Dip (added weight),15,8,4
2025-03-28,Leg Press,205,6,3
2025-03-28,Smith Machine Calf Raise,130,10,4
2025-03-28,Squat,115,4,4
2025-03-31,Bench Press,110,6,4
2025-03-31,Neutral Grip Lat Pulldown,87.5,5,4
2025-03-31,Overhead Press,65,4,3
2025-03-31,Rope Pushdown,32.5,12,4
2025-03-31,Weighted Chin-up (added weight),10,3,4
2025-04-02,Barbell Curl,40,10,3
2025-04-02,Deadlift,157.5,3,3
2025-04-02,Weighted Dip (added weight),15,4,3
2025-04-04,Leg Extension,85,6,3
2025-04-04,Smith Machine Calf Raise,130,12,3
2025-04-04,Squat,115,5,4
2025-04-07,Bench Press,110,5,3
2025-04-07,Overhead Press,67.5,5,4
2025-04-09,Barbell Curl,37.5,10,4
2025-04-09,Barbell Row,85,4,3
2025-04-09,Deadlift,150,3,4
2025-04-09,Weighted Dip (added weight),12.5,8,3
2025-04-11,Leg Press,190,10,4
2025-04-11,Squat,110,5,3
2025-04-14,Bench Press,100,4,3
2025-04-14,Overhead Press,62.5,3,3
2025-04-14,Rope Pushdown,30,8,3
2025-04-16,Barbell Row,90,5,3
2025-04-16,Deadlift,162.5,5,3
2025-04-16,Weighted Dip (added weight),15,6,3
2025-04-18,Leg Extension,87.5,12,4
2025-04-18,Leg Press,205,10,3
2025-04-18,Smith Machine Calf Raise,130,5,4
2025-04-18,Squat,120,6,4
2025-04-21,Bench Press,110,3,3
2025-04-21,Neutral Grip Lat Pulldown,85,10,3
2025-04-21,Overhead Press,67.5,5,3
2025-04-21,Rope Pushdown,32.5,6,4
2025-04-23,Barbell Curl,40,6,3
2025-04-23,Barbell Row,90,4,4
2025-04-23,Deadlift,160,3,4
2025-04-23,Weighted Dip (added weight),15,4,4
2025-04-25,Leg Extension,87.5,12,4
2025-04-25,Leg Press,195,10,3
2025-04-25,Smith Machine Calf Raise,125,5,3
2025-04-28,Bench Press,105,6,3
2025-04-28,Neutral Grip Lat Pulldown,90,6,4
2025-04-28,Overhead Press,67.5,3,4
2025-04-28,Rope Pushdown,32.5,10,4
2025-04-28,Weighted Chin-up (added weight),10,7,4
2025-04-30,Barbell Row,92.5,3,3
2025-04-30,Deadlift,160,4,4
2025-04-30,Weighted Dip (added weight),15,5,3
2025-05-02,Leg Extension,82.5,5,4
2025-05-02,Leg Press,195,8,4
2025-05-05,Bench Press,107.5,3,4
2025-05-05,Overhead Press,67.5,6,4
2025-05-05,Weighted Chin-up (added weight),12.5,8,3
2025-05-07,Barbell Row,90,6,4
2025-05-07,Deadlift,157.5,6,3
2025-05-07,Weighted Dip (added weight),15,7,4
2025-05-09,Leg Extension,85,6,4
